"V1","V2","V3","V4"
50,50,50,50
45.7294106650502,51.3072704692902,51.3907315268926,49.0550573068374
45.8550112410804,51.8063105283002,52.9389047694368,49.6379158850799
43.8653288809695,51.1274485581931,48.4641024019865,51.3612104516265
42.6902079371686,55.2562526577016,49.5024812027348,53.0127500910907
40.8952683916586,53.2402859910112,51.5621425174522,57.7528551499349
37.935603510594,54.4917425782957,56.2768425644633,58.2698326955521
37.8314515881839,56.6748723941133,57.5192150244742,59.9624848745394
40.4336332159239,59.4063507575068,58.4400947683849,63.4310591536262
48.6024417740028,60.3826895948563,62.9452063534866,59.9926917718558
44.7832392932798,60.3264813316219,69.1599195172781,59.6354414291387
